y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
Serpent;1.04959;426.61981;1000.71151;-104.57574;0.00000;Slussen;1.66691;-4.20399;5479.63849;-89188.70461;TRUE;FALSE;-2.09918
Serpent;1.33954;648.73256;1000.71425;-133.65769;0.00000;Slussen;0.27942;-2.58790;5473.63180;-89184.78852;TRUE;FALSE;-2.67909
Serpent;1.17269;1193.82953;1000.68848;-116.88789;0.00000;Brinnelvägen 8;-0.42198;1.22805;5472.54492;-89184.44032;TRUE;FALSE;-2.34539
Serpent;1.84256;-391.32424;1000.53515;-184.11967;-0.00000;Slussen;1.63635;-3.73017;5475.41604;-89185.62970;TRUE;FALSE;-3.68512
Serpent;2.16291;146.75604;1000.75917;-215.90330;0.00000;N/A;1.25472;-4.17668;5474.97660;-89186.99594;TRUE;FALSE;-4.32582
Serpent;2.50505;-665.02598;1000.72707;-250.21588;-0.00000;Entrée;2.25856;-4.58027;5475.67073;-89184.66597;TRUE;FALSE;-5.01009
Serpent;2.24977;-218.71465;1000.54040;-224.59768;-0.00000;Slussen;0.68007;-1.72972;5474.66138;-89182.89384;TRUE;FALSE;-4.49955
Serpent;0.22567;1623.14476;1000.42540;-22.41571;0.00000;Östra stationen;0.02437;-1.45315;5473.97356;-89183.92353;TRUE;FALSE;-0.45134
Serpent;1.60359;-243.11460;1000.65846;-160.10765;-0.00000;Slussen;2.31892;0.92913;5474.69294;-89184.37212;TRUE;FALSE;-3.20719
Serpent;1.47911;210.85484;1000.42690;-147.68906;0.00000;N/A;1.49828;-2.58674;5476.53776;-89189.18385;TRUE;FALSE;-2.95822
Serpent;2.17677;600.29489;1000.56453;-217.44540;0.00000;Slussen;3.39001;-1.45063;5479.33225;-89190.76970;TRUE;FALSE;-4.35354
Serpent;0.79437;1210.46536;1000.63896;-79.32990;0.00000;Brinnelvägen 8;-0.59992;-1.89139;5474.85991;-89186.97986;TRUE;FALSE;-1.58875
Serpent;1.65716;1035.15996;1000.76671;-165.43022;0.00000;Entrée;2.90013;-2.03218;5475.22753;-89188.84979;TRUE;FALSE;-3.31431
Serpent;1.85626;282.13525;1000.92787;-185.19951;0.00000;N/A;2.05254;-2.98050;5479.96348;-89187.23542;TRUE;FALSE;-3.71251
Serpent;0.10931;990.68654;1000.49191;-10.69778;0.00000;Brinnelvägen 8;1.46551;-0.61307;5478.94782;-89188.35679;TRUE;FALSE;-0.21862
Serpent;2.28398;-334.96680;1000.60941;-228.07593;-0.00000;Slussen;2.75933;0.16480;5474.34923;-89184.44611;TRUE;FALSE;-4.56796
Serpent;1.50393;309.78592;1000.62080;-149.97243;0.00000;N/A;1.71556;-2.21635;5476.21370;-89183.80667;TRUE;FALSE;-3.00785
Serpent;0.35623;1104.46379;1000.34754;-35.42153;0.00000;Brinnelvägen 8;2.19041;1.30689;5473.23204;-89185.91559;TRUE;FALSE;-0.71247
Serpent;1.86904;212.66737;1000.70610;-186.54955;0.00000;N/A;1.28329;-3.01858;5475.63777;-89183.05515;TRUE;FALSE;-3.73808
Serpent;1.44927;86.79652;1000.60814;-144.62502;0.00000;N/A;3.51016;0.33742;5473.16750;-89188.30504;TRUE;FALSE;-2.89854
Serpent;1.83314;346.33387;1000.61799;-182.88508;0.00000;N/A;-0.75645;-0.74756;5472.60800;-89185.85250;TRUE;FALSE;-3.66627
Serpent;1.42101;563.35540;1000.58857;-141.87950;0.00000;Slussen;1.77985;0.67339;5474.01903;-89184.64936;TRUE;FALSE;-2.84202
Serpent;1.26797;1010.56690;1000.76484;-126.55710;0.00000;Entrée;0.03819;-1.79637;5475.31030;-89185.17956;TRUE;FALSE;-2.53595
Serpent;0.08475;987.04469;1000.78010;-8.03780;0.00000;Brinnelvägen 8;-0.73481;-2.34496;5476.06134;-89185.06012;TRUE;FALSE;-0.16951
Serpent;2.55122;1357.03256;1000.79533;-254.76440;0.00000;Brinnelvägen 8;3.38783;-1.08748;5475.14015;-89186.79976;TRUE;FALSE;-5.10243
Serpent;2.37557;-566.03449;1000.69038;-237.31160;-0.00000;Entrée;0.67958;-4.13442;5476.38612;-89182.95096;TRUE;FALSE;-4.75114
Serpent;1.80260;1857.93459;1000.32846;-180.15013;0.00000;Östra stationen;-0.40297;-5.33398;5474.06616;-89186.08714;TRUE;FALSE;-3.60519
Serpent;2.03258;1540.26347;1000.81899;-202.81466;0.00000;Lindstedsvägen 24;2.47449;-2.97311;5474.51377;-89185.05626;TRUE;FALSE;-4.06515
Serpent;0.92220;1397.16680;1000.71738;-91.81874;0.00000;Lindstedsvägen 24;1.16208;-3.17295;5474.63394;-89185.99617;TRUE;FALSE;-1.84439
Serpent;1.66992;-286.28336;1000.51361;-166.66364;-0.00000;Slussen;0.35735;-1.14936;5475.60732;-89187.24985;TRUE;FALSE;-3.33984
Serpent;1.88678;-112.55033;1000.25965;-188.58932;-0.00000;N/A;1.96812;0.23911;5475.59831;-89186.26480;TRUE;FALSE;-3.77357
Serpent;1.47552;1842.73145;1000.65050;-147.42172;0.00000;Östra stationen;0.25887;-3.61644;5474.67367;-89186.10354;TRUE;FALSE;-2.95103
Serpent;1.77570;-497.01354;1000.41048;-177.53120;-0.00000;Slussen;0.66238;-3.62409;5479.29782;-89187.26419;TRUE;FALSE;-3.55141
Serpent;0.94392;355.57371;1000.90790;-93.98753;0.00000;Slussen;2.66353;0.92533;5475.57615;-89185.48484;TRUE;FALSE;-1.88784
Serpent;0.39485;1326.17350;1000.55965;-39.10223;0.00000;Lindstedsvägen 24;1.00951;-2.32597;5475.12124;-89185.42649;TRUE;FALSE;-0.78970
Serpent;1.35663;114.72800;1000.32094;-135.52784;0.00000;N/A;2.65687;2.28447;5478.35579;-89186.64608;TRUE;FALSE;-2.71326
Serpent;2.01613;-91.12255;1000.99660;-201.17541;-0.00000;N/A;2.01617;-0.56362;5475.03328;-89184.71919;TRUE;FALSE;-4.03225
Serpent;-0.06747;1082.43048;1000.41444;6.92308;0.00000;Brinnelvägen 8;1.07945;2.99667;5476.04447;-89186.13453;TRUE;FALSE;0.13495
Serpent;2.31368;-629.11703;1000.66696;-231.26048;-0.00000;Entrée;3.61309;-3.22082;5477.25532;-89187.65933;TRUE;FALSE;-4.62737
Serpent;3.23518;127.65002;1000.58274;-323.16196;0.00000;N/A;1.39653;-5.21581;5474.55628;-89186.28784;TRUE;FALSE;-6.47036
Serpent;0.55556;1351.69962;1000.52181;-55.41167;0.00000;Lindstedsvägen 24;0.09377;2.02230;5472.97352;-89186.28644;TRUE;FALSE;-1.11113
Serpent;1.63134;-533.90995;1000.62868;-163.02362;-0.00000;Slussen;0.36610;-4.59780;5475.03490;-89185.24428;TRUE;FALSE;-3.26267
Serpent;1.11246;119.70399;1000.79223;-110.84480;0.00000;N/A;2.48593;1.30129;5476.80409;-89183.68888;TRUE;FALSE;-2.22492
Serpent;1.54134;-228.44795;1000.35153;-153.98379;-0.00000;N/A;1.27038;-3.00619;5475.59075;-89186.12098;TRUE;FALSE;-3.08269
Serpent;2.22170;-1017.25942;1000.57711;-221.87630;-0.00000;Brinnelvägen 8;2.89054;-1.35903;5476.66014;-89183.72409;TRUE;FALSE;-4.44341
Serpent;0.11276;1169.41486;1000.48060;-11.04927;0.00000;Brinnelvägen 8;1.26620;0.25578;5475.73042;-89185.33028;TRUE;FALSE;-0.22553
Serpent;0.57666;1457.10958;1000.61795;-57.55232;0.00000;Lindstedsvägen 24;-0.02451;0.21805;5475.03156;-89183.77749;TRUE;FALSE;-1.15332
Serpent;2.34261;1053.99795;1000.90403;-233.84252;0.00000;Entrée;3.14843;-1.80170;5475.34503;-89184.20839;TRUE;FALSE;-4.68521
Serpent;1.56595;618.27715;1000.36638;-156.52192;0.00000;Slussen;1.30584;-0.54521;5476.00469;-89186.91189;TRUE;FALSE;-3.13190
Serpent;2.82994;759.86442;1000.59610;-282.70457;0.00000;Slussen;2.07509;-2.96398;5474.65500;-89185.71785;TRUE;FALSE;-5.65987
Serpent;0.46307;720.77824;1000.45534;-46.08257;0.00000;Entrée;0.01562;0.29015;5475.81563;-89182.00717;TRUE;FALSE;-0.92614
Serpent;1.71001;1168.90082;1000.70522;-170.60806;0.00000;Brinnelvägen 8;2.77918;-2.61612;5474.09362;-89185.54819;TRUE;FALSE;-3.42003
Serpent;1.98354;-378.68558;1000.62650;-198.00385;-0.00000;Slussen;1.52963;-0.16281;5474.74100;-89185.30981;TRUE;FALSE;-3.96708
Serpent;0.47380;1121.01755;1000.43224;-47.26558;0.00000;Brinnelvägen 8;0.02794;-1.84786;5478.79152;-89186.49987;TRUE;FALSE;-0.94760
Serpent;0.82489;797.92351;1000.77806;-82.24648;0.00000;Entrée;0.73179;1.67376;5476.04147;-89184.96710;TRUE;FALSE;-1.64978
Serpent;1.85755;895.14771;1000.60391;-185.40612;0.00000;Entrée;1.55168;-3.88993;5474.84386;-89184.10045;TRUE;FALSE;-3.71510
Serpent;2.21835;-34.33010;1000.50355;-221.73401;-0.00000;N/A;2.62782;-3.22253;5474.27908;-89186.74035;TRUE;FALSE;-4.43669
Serpent;2.78998;-1687.72497;1000.27169;-278.96865;-0.00000;Östra stationen;3.93181;-2.14633;5473.91000;-89186.25850;TRUE;FALSE;-5.57995
Serpent;0.25274;1546.76733;1000.54651;-25.19319;0.00000;Östra stationen;3.37872;2.57655;5473.97715;-89184.84581;TRUE;FALSE;-0.50549
Serpent;0.54561;558.86605;1000.40635;-54.31610;0.00000;Slussen;-0.09848;0.35160;5476.35244;-89183.02237;TRUE;FALSE;-1.09122
Serpent;1.04252;1238.02313;1000.38219;-104.21621;0.00000;Brinnelvägen 8;1.79026;-1.12511;5473.56877;-89184.79439;TRUE;FALSE;-2.08504
Serpent;2.61246;48.40083;1000.67818;-261.03129;0.00000;N/A;2.62652;-0.56172;5473.97973;-89188.03699;TRUE;FALSE;-5.22492
Serpent;1.25136;363.97525;1000.24466;-125.07559;0.00000;Slussen;0.11984;-1.37460;5475.52344;-89186.30459;TRUE;FALSE;-2.50272
Serpent;1.00637;767.77376;1000.79495;-100.25004;0.00000;Entrée;1.94599;-0.32217;5473.76644;-89186.74546;TRUE;FALSE;-2.01274
Serpent;1.68777;-5.61662;1000.69138;-168.58316;-0.00000;N/A;0.00525;-2.03356;5480.43282;-89187.64353;TRUE;FALSE;-3.37554
Serpent;1.10468;937.30267;1000.68448;-110.26172;0.00000;Entrée;1.67179;-1.10619;5474.35845;-89184.66792;TRUE;FALSE;-2.20937
Serpent;1.40105;992.31941;1000.44254;-139.81847;0.00000;Entrée;0.35882;-1.48598;5477.53961;-89189.03147;TRUE;FALSE;-2.80209
Serpent;1.52345;-436.37687;1000.42875;-152.24335;-0.00000;Slussen;1.58732;-0.30538;5476.98599;-89184.73979;TRUE;FALSE;-3.04691
Serpent;1.23001;-39.16218;1000.79579;-122.67084;-0.00000;N/A;2.53093;-1.76900;5476.18678;-89184.95847;TRUE;FALSE;-2.46003
Serpent;2.07964;152.12566;1000.45335;-207.70802;0.00000;N/A;2.46839;-0.51033;5475.41493;-89184.06042;TRUE;FALSE;-4.15927
Serpent;1.63442;619.22237;1000.73704;-163.17754;0.00000;Slussen;1.37771;-1.69965;5478.20306;-89189.08714;TRUE;FALSE;-3.26883
Serpent;2.93822;-1793.23180;1000.76195;-293.56076;-0.00000;KTH Biblioteket;2.94542;-3.24202;5475.99936;-89185.56213;TRUE;FALSE;-5.87644
Serpent;1.23597;1238.10533;1000.60654;-123.37035;0.00000;Brinnelvägen 8;2.63697;-0.03470;5474.64953;-89184.88741;TRUE;FALSE;-2.47194
Serpent;1.51203;418.06016;1000.64751;-150.97608;0.00000;Slussen;2.59067;-2.90792;5479.54791;-89188.26732;TRUE;FALSE;-3.02406
Serpent;1.06064;984.93669;1000.56486;-105.73271;0.00000;Entrée;0.86306;-0.15515;5474.80497;-89186.46694;TRUE;FALSE;-2.12128
Serpent;1.82137;246.97397;1000.66508;-181.92621;0.00000;N/A;3.32965;-1.85625;5475.82227;-89184.98077;TRUE;FALSE;-3.64274
Serpent;1.63670;535.81153;1000.27541;-163.63469;0.00000;Slussen;4.91856;0.86575;5480.35429;-89187.71779;TRUE;FALSE;-3.27340
Serpent;0.32213;794.65573;1000.85053;-31.88339;0.00000;Entrée;0.38023;0.33766;5478.61531;-89186.38518;TRUE;FALSE;-0.64427
Serpent;1.46874;14.20424;1000.70547;-146.49651;0.00000;N/A;2.01864;0.15240;5478.00560;-89187.21827;TRUE;FALSE;-2.93749
Serpent;2.93323;-1356.72395;1000.40053;-293.13615;-0.00000;Lindstedsvägen 24;2.49755;-4.04410;5475.59580;-89184.28922;TRUE;FALSE;-5.86646
Serpent;1.12524;305.86665;1000.39876;-112.46903;0.00000;N/A;1.32870;-0.22581;5475.60365;-89184.05563;TRUE;FALSE;-2.25048
Serpent;1.81658;-298.57634;1000.42579;-181.60582;-0.00000;Slussen;1.19246;-2.20799;5475.07319;-89185.37086;TRUE;FALSE;-3.63315
Serpent;1.87649;1192.99702;1000.38072;-187.51721;0.00000;Brinnelvägen 8;0.88811;-1.77862;5475.42672;-89185.45955;TRUE;FALSE;-3.75298
Serpent;1.16015;710.94074;1000.53304;-115.94128;0.00000;Slussen;1.26024;-0.84724;5475.49441;-89187.34837;TRUE;FALSE;-2.32030
Serpent;2.53999;-452.75252;1000.60272;-253.93876;-0.00000;Slussen;4.47068;-0.69396;5477.35799;-89188.40219;TRUE;FALSE;-5.07998
Serpent;1.93628;1423.13187;1000.61776;-193.34526;0.00000;Lindstedsvägen 24;3.42374;-0.30977;5476.49304;-89184.09450;TRUE;FALSE;-3.87256
Serpent;-0.30564;-1172.52474;1000.63509;30.72446;-0.00000;Brinnelvägen 8;-2.29523;-0.28491;5475.64233;-89185.65052;FALSE;FALSE;0.61127
Serpent;-0.33494;188.67147;1000.64021;33.90150;0.00000;Slussen;1.33713;-0.85736;5474.62033;-89185.55029;FALSE;FALSE;0.66987
Serpent;-1.73332;814.89116;1000.54714;173.38498;0.00000;Brinnelvägen 8;-3.40209;3.57568;5476.04330;-89185.17981;FALSE;FALSE;3.46665
Serpent;0.91127;-1108.48648;1000.76476;-90.69210;-0.00000;Brinnelvägen 8;1.68927;-0.85571;5477.22524;-89189.13672;FALSE;FALSE;-1.82255
Serpent;0.32842;63.90896;1000.83098;-32.48699;0.00000;N/A;-0.11177;-1.95645;5476.45076;-89184.66885;FALSE;FALSE;-0.65684
Serpent;-0.17703;-1649.94416;1000.35738;17.91656;-0.00000;Lindstedsvägen 24;1.09076;1.15018;5479.24299;-89187.68513;FALSE;FALSE;0.35406
Serpent;1.49596;-1127.47098;1000.63649;-149.41057;-0.00000;Brinnelvägen 8;1.62690;-1.55856;5475.74521;-89186.55973;FALSE;FALSE;-2.99192
Serpent;-0.13676;-1260.58495;1000.87159;14.03653;-0.00000;Brinnelvägen 8;0.78324;1.14901;5476.13098;-89187.24536;FALSE;FALSE;0.27351
Serpent;1.46549;-1771.22022;1000.27384;-146.41726;-0.00000;Östra stationen;3.14366;-1.62302;5473.69827;-89184.46004;FALSE;FALSE;-2.93098
Serpent;0.83424;-967.00366;1000.61993;-83.04091;-0.00000;Entrée;-2.00646;-1.40124;5475.50215;-89185.99969;FALSE;FALSE;-1.66847
Serpent;0.94229;-132.44466;1000.55280;-93.93030;-0.00000;N/A;1.71315;1.35073;5475.91347;-89187.78895;FALSE;FALSE;-1.88458
Serpent;0.38244;-128.61657;1000.50406;-38.08580;-0.00000;N/A;0.83420;0.44118;5474.84251;-89184.95842;FALSE;FALSE;-0.76487
Serpent;1.51699;-1318.33516;1000.77385;-151.27926;-0.00000;Lindstedsvägen 24;3.37159;-1.13550;5475.67505;-89185.09057;FALSE;FALSE;-3.03399
Serpent;-0.51446;-24.15190;1000.60251;51.61553;-0.00000;N/A;-0.32387;1.48569;5476.52022;-89188.07246;FALSE;FALSE;1.02891
Serpent;1.33125;-456.82063;1000.72611;-132.77892;-0.00000;Slussen;2.88796;-0.57301;5474.64611;-89185.22766;FALSE;FALSE;-2.66251
Serpent;0.37417;529.01333;1000.83614;-37.12716;0.00000;Slussen;-1.60152;-2.91728;5476.62517;-89186.68545;FALSE;FALSE;-0.74835
Serpent;-1.47738;110.99864;1000.65259;148.09704;0.00000;Slussen;-1.16655;0.41287;5474.81141;-89184.93645;FALSE;FALSE;2.95476
Serpent;0.74582;-353.44921;1000.70059;-74.22781;-0.00000;Slussen;0.64130;-0.79800;5475.29241;-89184.99932;FALSE;FALSE;-1.49165
Serpent;1.38075;-885.09661;1000.53136;-137.81146;-0.00000;Entrée;-0.89512;-2.07009;5473.74864;-89186.16872;FALSE;FALSE;-2.76149
Serpent;0.78991;-107.39313;1000.58553;-78.57667;-0.00000;N/A;2.69786;1.13494;5474.04406;-89185.27025;FALSE;FALSE;-1.57982
Serpent;0.33609;132.58592;1000.62419;-33.42050;0.00000;N/A;0.91949;-0.84689;5475.31018;-89184.49726;FALSE;FALSE;-0.67218
Serpent;1.85797;-1302.70690;1000.95161;-185.35995;-0.00000;Lindstedsvägen 24;3.66703;-2.14382;5477.85304;-89187.71970;FALSE;FALSE;-3.71594
Serpent;-0.04701;-1314.43336;1000.47290;5.01932;-0.00000;Brinnelvägen 8;-0.61603;0.06063;5476.11288;-89185.53404;FALSE;FALSE;0.09402
Serpent;1.35124;-371.03204;1000.41532;-134.93161;-0.00000;Slussen;0.79386;-2.51329;5474.71027;-89184.53065;FALSE;FALSE;-2.70248
Serpent;1.76145;-1090.34336;1000.49176;-175.80500;-0.00000;Brinnelvägen 8;1.70508;-3.48524;5479.03137;-89185.92957;FALSE;FALSE;-3.52290
Serpent;0.21259;270.64623;1000.51705;-21.21199;0.00000;Slussen;-2.01754;-1.11291;5478.76053;-89187.39628;FALSE;FALSE;-0.42518
Serpent;0.56508;214.30226;1000.50792;-56.44961;0.00000;N/A;2.44508;0.19033;5474.25758;-89184.98714;FALSE;FALSE;-1.13015
Serpent;1.82837;-905.93249;1000.89357;-182.48419;-0.00000;Entrée;1.88831;-2.22863;5474.51454;-89185.03452;FALSE;FALSE;-3.65674
Serpent;0.02258;-273.54845;1000.53836;-2.11594;-0.00000;N/A;1.56594;1.83973;5474.14625;-89184.61522;FALSE;FALSE;-0.04516
Serpent;0.20508;-1132.70018;1000.66743;-20.36012;-0.00000;Brinnelvägen 8;0.81064;-1.14025;5474.72643;-89186.54518;FALSE;FALSE;-0.41016
Serpent;1.79310;-940.28113;1000.40029;-179.21322;-0.00000;Brinnelvägen 8;0.92475;-2.87019;5475.48536;-89182.60394;FALSE;FALSE;-3.58620
Serpent;-0.58736;-401.00318;1000.60208;58.80303;-0.00000;N/A;-1.12134;1.22480;5476.80930;-89188.51044;FALSE;FALSE;1.17472
Serpent;0.03748;-258.87154;1000.91810;-3.32817;-0.00000;N/A;-1.18525;-0.89467;5475.28999;-89185.39670;FALSE;FALSE;-0.07497
Serpent;-0.42229;-862.66134;1000.52295;42.36838;-0.00000;Entrée;-1.55859;-1.15817;5474.67394;-89184.42145;FALSE;FALSE;0.84457
Serpent;0.52050;-475.18410;1000.20015;-52.00439;-0.00000;Slussen;2.38810;1.08218;5479.72121;-89188.22955;FALSE;FALSE;-1.04101
Serpent;0.66642;55.41728;1000.35638;-66.61145;0.00000;N/A;1.80668;0.44109;5478.40335;-89189.39221;FALSE;FALSE;-1.33285
Serpent;1.28542;-1471.44549;1000.77652;-128.17605;-0.00000;Lindstedsvägen 24;1.81577;-0.55032;5479.84959;-89189.19125;FALSE;FALSE;-2.57085
Serpent;-1.09155;149.96915;1000.56508;109.24243;0.00000;Slussen;-0.00456;2.91528;5474.59787;-89184.69422;FALSE;FALSE;2.18310
Serpent;-0.05576;-871.66051;1000.48839;5.67487;-0.00000;Entrée;1.00057;-0.10346;5475.13794;-89188.69146;FALSE;FALSE;0.11152
Serpent;0.98174;-449.58925;1000.51427;-98.00985;-0.00000;Slussen;1.19794;-1.26108;5476.27460;-89184.44309;FALSE;FALSE;-1.96348
Serpent;0.41284;412.70661;1000.42832;-41.09472;0.00000;Slussen;0.67562;-0.22140;5475.18642;-89186.09676;FALSE;FALSE;-0.82568
Serpent;0.17544;-1282.35530;1000.34540;-17.41959;-0.00000;Brinnelvägen 8;-1.66298;-0.64808;5475.80760;-89185.06068;FALSE;FALSE;-0.35087
Serpent;0.41351;264.58016;1000.48308;-41.07700;0.00000;Slussen;1.16004;-1.04269;5475.52124;-89184.47143;FALSE;FALSE;-0.82702
Serpent;0.82062;-252.57738;1000.78330;-81.65387;-0.00000;N/A;2.87614;0.27632;5475.06940;-89186.57477;FALSE;FALSE;-1.64124
Serpent;0.58216;-10.28893;1000.44209;-58.05304;-0.00000;N/A;2.67550;0.02489;5477.39276;-89183.88156;FALSE;FALSE;-1.16432
Serpent;0.48938;-175.50009;1000.41814;-48.73146;-0.00000;N/A;1.79864;0.60025;5474.01905;-89184.32898;FALSE;FALSE;-0.97876
Serpent;-0.03355;-508.94103;1000.55211;3.45671;-0.00000;Slussen;-2.15394;-0.80618;5474.94128;-89186.59850;FALSE;FALSE;0.06711
Serpent;0.35093;-465.85300;1000.66800;-34.79748;-0.00000;Slussen;0.16745;1.12760;5476.17919;-89186.02469;FALSE;FALSE;-0.70187
Serpent;0.22450;-672.45847;1000.39276;-22.40593;-0.00000;Slussen;-1.40067;1.20790;5477.58984;-89187.22690;FALSE;FALSE;-0.44899
Serpent;-0.85664;260.01334;1000.53780;85.74609;0.00000;Slussen;-0.12283;1.79063;5474.87705;-89186.08412;FALSE;FALSE;1.71329
Serpent;0.90742;-1547.13538;1000.26566;-90.68858;-0.00000;Lindstedsvägen 24;-0.60194;-0.28263;5474.62568;-89185.27965;FALSE;FALSE;-1.81483
Serpent;0.42552;-48.02066;1000.30997;-42.52468;-0.00000;N/A;2.49721;-0.04103;5474.14403;-89185.74134;FALSE;FALSE;-0.85105
Serpent;2.93308;-1967.90439;1000.58666;-292.99406;-0.00000;KTH Biblioteket;1.87773;-2.48209;5475.19442;-89183.20124;FALSE;FALSE;-5.86616
Serpent;0.16523;393.40764;1000.22230;-16.49596;0.00000;Slussen;1.65028;-0.30936;5476.04549;-89183.47828;FALSE;FALSE;-0.33045
Serpent;0.66370;-275.06059;1000.55855;-66.03549;-0.00000;N/A;0.73846;-0.91458;5474.99014;-89182.26198;FALSE;FALSE;-1.32741
Serpent;0.31834;-1013.36282;1000.57150;-31.64278;-0.00000;Entrée;-1.09808;-0.79308;5477.35312;-89186.64790;FALSE;FALSE;-0.63669
Serpent;2.55808;-1774.41290;1000.30778;-255.72309;-0.00000;KTH Biblioteket;3.06201;-3.05130;5473.34753;-89185.68507;FALSE;FALSE;-5.11617
Serpent;1.59418;-2298.96065;1000.83547;-158.98175;-0.00000;KTH Biblioteket;1.19749;-5.34683;5475.69737;-89185.61656;FALSE;FALSE;-3.18837
Serpent;1.05299;-1648.02832;1000.53050;-105.15209;-0.00000;Östra stationen;1.02421;-2.88281;5478.93051;-89187.53446;FALSE;FALSE;-2.10598
Serpent;0.58732;-1246.53650;1000.72100;-58.52185;-0.00000;Brinnelvägen 8;1.22372;-2.61535;5478.72585;-89188.91168;FALSE;FALSE;-1.17464
Serpent;0.26908;-745.29877;1000.47621;-26.75825;-0.00000;Slussen;2.48821;0.35408;5476.87490;-89182.94620;FALSE;FALSE;-0.53815
Serpent;0.23571;71.49062;1000.41271;-23.47370;0.00000;N/A;-0.58054;-0.75293;5474.33450;-89183.19964;FALSE;FALSE;-0.47142
Serpent;0.22895;727.90567;1000.63801;-22.57615;0.00000;Entrée;-0.40220;2.28557;5475.92356;-89185.30955;FALSE;FALSE;-0.45790
Serpent;1.57223;-1320.80150;1000.78095;-156.79620;-0.00000;Lindstedsvägen 24;2.36273;-0.05018;5474.57854;-89185.24236;FALSE;FALSE;-3.14446
Serpent;0.39026;300.24425;1000.65645;-38.87916;0.00000;Slussen;1.88764;2.25072;5478.40609;-89188.80250;FALSE;FALSE;-0.78051
Serpent;0.19580;281.46105;1000.57385;-19.20562;0.00000;Slussen;0.36945;-0.58124;5473.58713;-89186.89702;FALSE;FALSE;-0.39159
Serpent;1.35370;-935.86479;1000.29934;-135.32346;-0.00000;Entrée;-0.86033;-0.57733;5474.77582;-89184.96959;FALSE;FALSE;-2.70740
Serpent;-0.14024;-390.47963;1000.44824;14.13397;-0.00000;N/A;0.39623;-1.12860;5474.33901;-89187.33305;FALSE;FALSE;0.28047
Serpent;1.00704;-693.66321;1000.77583;-100.30221;-0.00000;Slussen;2.75280;-0.68805;5473.91742;-89185.48373;FALSE;FALSE;-2.01408
